algorithm,trial,final_fitness,computation_time,total_iterations,success
GA+SA,1,11.4,382.3605766296387,714,False
GA+SA,10,11.8,319.700679063797,609,False
GA+SA,11,10.8,355.9076278209686,684,False
GA+SA,12,12.2,414.27622389793396,804,False
GA+SA,13,11.5,392.076402425766,729,False
GA+SA,14,8.6,269.7298195362091,504,True
GA+SA,15,10.299999999999999,420.8371570110321,774,False
GA+SA,16,10.2,403.7161042690277,714,False
GA+SA,17,9.5,354.65433740615845,669,True
GA+SA,18,9.3,277.2162024974823,504,True
GA+SA,19,8.5,389.2322561740875,714,True
GA+SA,2,9.700000000000001,429.5936155319214,789,True
GA+SA,20,9.1,307.20608711242676,564,True
GA+SA,21,9.2,311.48073744773865,594,True
GA+SA,22,10.0,235.83822536468506,444,False
GA+SA,23,10.8,380.8806080818176,699,False
GA+SA,24,9.0,379.2755317687988,684,True
GA+SA,25,8.6,340.29446268081665,654,True
GA+SA,26,9.9,318.0614640712738,564,True
GA+SA,27,9.9,313.1233878135681,594,True
GA+SA,28,11.5,361.6310865879059,684,False
GA+SA,29,11.0,400.2818281650543,759,False
GA+SA,3,11.2,430.3609137535095,789,False
GA+SA,30,10.5,263.24515557289124,489,False
GA+SA,4,10.7,272.88628816604614,504,False
GA+SA,5,9.899999999999999,358.02589201927185,654,True
GA+SA,6,7.799999999999999,331.72381615638733,624,True
GA+SA,7,10.3,424.11186146736145,744,False
GA+SA,8,7.4,433.60948848724365,804,True
GA+SA,9,11.5,334.21909284591675,639,False
