algorithm,trial,final_fitness,computation_time,total_iterations,success
GA+TS,1,3.2,154.1913845539093,712,True
GA+TS,10,4.6,141.15528321266174,628,True
GA+TS,11,7.8,93.38793087005615,402,True
GA+TS,12,5.199999999999999,123.05492496490479,555,True
GA+TS,13,4.8,123.82553553581238,552,True
GA+TS,14,7.199999999999999,92.10649919509888,393,True
GA+TS,15,6.4,101.09388422966003,425,True
GA+TS,16,3.0,135.7838900089264,623,True
GA+TS,17,6.6000000000000005,117.50128269195557,505,True
GA+TS,18,3.6,97.93642973899841,409,True
GA+TS,19,4.7,118.24028420448303,505,True
GA+TS,2,4.8,99.64228224754333,415,True
GA+TS,20,5.800000000000001,101.22098708152771,436,True
GA+TS,21,3.1,124.86911225318909,516,True
GA+TS,22,2.8,125.45817494392395,546,True
GA+TS,23,2.9000000000000004,128.00909805297852,564,True
GA+TS,24,4.800000000000001,113.67827129364014,489,True
GA+TS,25,1.9,156.83144330978394,669,True
GA+TS,26,5.6,103.68932271003723,438,True
GA+TS,27,3.9,110.74393391609192,475,True
GA+TS,28,6.199999999999999,122.09903287887573,520,True
GA+TS,29,4.800000000000001,125.64296507835388,519,True
GA+TS,3,2.6,116.10134100914001,502,True
GA+TS,30,6.799999999999999,112.10386991500854,501,True
GA+TS,4,5.8,124.18366813659668,549,True
GA+TS,5,4.7,99.77889680862427,416,True
GA+TS,6,4.9,119.55812478065491,529,True
GA+TS,7,4.8,103.14516282081604,433,True
GA+TS,8,5.5,121.24464917182922,490,True
GA+TS,9,3.4,132.98118233680725,606,True
