algorithm,trial,final_fitness,computation_time,total_iterations,success
GA,1,14.500000000000004,23.077181577682495,879,False
GA,10,13.6,21.787288427352905,1065,False
GA,11,12.7,21.73012638092041,1049,False
GA,12,13.299999999999999,24.927534103393555,1191,False
GA,13,7.800000000000001,27.076674938201904,1316,True
GA,14,18.2,19.50936508178711,922,False
GA,15,11.2,25.664401292800903,1191,False
GA,16,7.8,29.38685393333435,1420,True
GA,17,11.3,21.295164823532104,1024,False
GA,18,11.200000000000001,27.93586015701294,1336,False
GA,19,9.1,26.80841827392578,1286,True
GA,2,14.399999999999999,23.516536712646484,1097,False
GA,20,12.7,24.000694036483765,1126,False
GA,21,13.9,22.899824857711792,1033,False
GA,22,10.200000000000001,29.08504819869995,1364,False
GA,23,13.4,22.61773419380188,1055,False
GA,24,6.199999999999999,25.487589836120605,1229,True
GA,25,9.7,23.82880997657776,1155,True
GA,26,13.899999999999999,25.890033960342407,1093,False
GA,27,13.000000000000002,23.906929969787598,1130,False
GA,28,10.099999999999998,23.22000765800476,1147,False
GA,29,11.8,22.723079919815063,1098,False
GA,3,11.200000000000001,27.10326337814331,1224,False
GA,30,17.9,23.148645639419556,1119,False
GA,4,10.6,25.482970476150513,1205,False
GA,5,8.7,28.36929702758789,1333,True
GA,6,14.4,24.156697273254395,1163,False
GA,7,12.3,24.628929615020752,1190,False
GA,8,10.799999999999999,26.872581720352173,1327,False
GA,9,14.2,20.60826826095581,984,False
